room,room_floor,room_capacity,room_block,room_building
EH1,1,50,Block A,New Building
EH10,1,50,Block A,New Building
EH11,0,25,Block A,New Building
EH12,0,25,Block A,New Building
EH13,0,25,Block A,New Building
EH14,0,25,Block A,New Building
EH15,0,25,Block A,New Building
EH16,0,60,Block A,New Building
EH17,0,60,Block A,New Building
EH18,0,60,Block A,New Building
EH19,0,60,Block A,New Building
EH2,1,50,Block A,New Building
EH20,0,60,Block A,New Building
EH21,1,25,Block B,New Building
EH22,1,25,Block B,New Building
EH23,1,25,Block B,New Building
EH24,1,25,Block B,New Building
EH25,1,25,Block B,New Building
EH26,1,25,Block B,New Building
EH27,1,25,Block B,New Building
EH28,1,60,Block B,New Building
EH29,1,25,Block B,New Building
EH3,1,50,Block A,New Building
EH30,1,25,Block B,New Building
EH4,1,50,Block A,New Building
EH5,1,50,Block A,New Building
EH6,1,50,Block A,New Building
EH7,1,50,Block A,New Building
EH8,1,50,Block A,New Building
EH9,1,50,Block A,New Building
F1,1,64,Block Main,Main Building
F10,1,60,Block Main,Main Building
F11,1,60,Block Main,Main Building
F12,1,60,Block Main,Main Building
F13,1,60,Block Main,Main Building
F14,1,60,Block Main,Main Building
F15,1,60,Block Main,Main Building
F16,1,60,Block Main,Main Building
F17,1,60,Block Main,Main Building
F18,1,60,Block Main,Main Building
F19,1,60,Block Main,Main Building
F2,1,60,Block Main,Main Building
F20,1,60,Block Main,Main Building
F21,1,60,Block Main,Main Building
F22,1,44,Block Main,Main Building
F23,1,46,Block Main,Main Building
F3,1,66,Block Main,Main Building
F4,1,66,Block Main,Main Building
F5,1,60,Block Main,Main Building
F6,1,60,Block Main,Main Building
F7,1,54,Block Main,Main Building
F8,1,62,Block Main,Main Building
F9,1,72,Block Main,Main Building
MT1,3,62,Block Main,Main Building
MT2,3,62,Block Main,Main Building
MT3,3,62,Block Main,Main Building
MT4,3,62,Block Main,Main Building
MT5,3,62,Block Main,Main Building
S1,1,62,Block Main,Main Building
S10,2,40,Block Main,Main Building
S11,2,30,Block Main,Main Building
S12,2,40,Block Main,Main Building
S13,2,46,Block Main,Main Building
S15,2,54,Block Main,Main Building
S16,2,60,Block Main,Main Building
S17,2,60,Block Main,Main Building
S18,2,58,Block Main,Main Building
S2,2,60,Block Main,Main Building
S20,2,56,Block Main,Main Building
S21,2,62,Block Main,Main Building
S22,2,56,Block Main,Main Building
S23,2,56,Block Main,Main Building
S24,2,62,Block Main,Main Building
S26,2,58,Block Main,Main Building
S3,2,62,Block Main,Main Building
S4,2,64,Block Main,Main Building
S5,2,62,Block Main,Main Building
S6,2,62,Block Main,Main Building
S7,2,62,Block Main,Main Building
S8,2,52,Block Main,Main Building
T1,3,42,Block Main,Main Building
T10,3,58,Block Main,Main Building
T12,2,62,Block Main,Main Building
T14,3,60,Block Main,Main Building
T15,3,58,Block Main,Main Building
T16,3,66,Block Main,Main Building
T17,3,66,Block Main,Main Building
T18,3,66,Block Main,Main Building
T19,3,60,Block Main,Main Building
T2,3,64,Block Main,Main Building
T20,3,66,Block Main,Main Building
T21,3,62,Block Main,Main Building
T22,3,60,Block Main,Main Building
T3,3,62,Block Main,Main Building
T4,3,62,Block Main,Main Building
T6,3,54,Block Main,Main Building
T7,3,62,Block Main,Main Building
T8,3,66,Block Main,Main Building
T9,3,62,Block Main,Main Building
LH1,0,60,Block B,New Building
LH2,0,60,Block B,New Building
LH3,0,60,Block B,New Building
LH4,0,60,Block B,New Building
LH5,0,60,Block B,New Building
DH1,1,60,Block B,New Building
DH2,1,60,Block B,New Building
LH6,0,60,Block C,New Building
LH7,0,60,Block C,New Building
LH8,0,60,Block C,New Building
